Vendor,OUI
Verkada,B8:A4:4F
Verkada,E8:27:25
Hikvision,00:15:AF
Hikvision,00:09:BF
Dahua,00:0E:8F
Dahua,00:50:C2
Axis Communications,00:1E:06
Axis Communications,50:C7:BF
Hanwha Techwin,70:FF:76
Hanwha Techwin,18:B4:30
Avigilon,2C:54:91
Avigilon,54:60:09
Bosch Security,EC:55:F9
Bosch Security,9C:2F:9D
Pelco,3C:5A:B4
Pelco,84:89:AD
Vivotek,34:C6:DD
Vivotek,94:EC:13
Uniview,20:BB:BC
Uniview,28:28:5D
D-Link,44:94:FC
D-Link,7C:78:B2
TP-Link,80:2A:A8
TP-Link,60:60:1F
Ubiquiti,3C:39:3D
Ubiquiti,04:03:12
Reolink,08:54:11
Reolink,08:A1:89
Amcrest,08:CC:81
Amcrest,0C:75:D2
EZVIZ,10:12:FB
EZVIZ,18:68:CB
Yi Technology,18:80:25
Yi Technology,24:0F:9B
Arlo,24:28:FD
Arlo,24:32:AE
Wyze,24:48:45
Wyze,28:57:BE
Eufy,2C:A5:9C
Eufy,34:09:62
DJI,3C:1B:F8
DJI,40:AC:BF
